org_nummer,name,municipality_name
716413-4608,Riksbyggen Bostadsrättsförening Gävlehus 23,Gävle
716458-6344,HSB Bostadsrättsförening Grand i Gävle,Gävle
785000-1236,HSB bostadsrättsförening Holland i Gävle,Gävle
716413-5373,Riksbyggen Bostadsrättsförening Gävlehus nr 35,Gävle
785000-0378,DILIGENSEN Bostadsrättsförening,Gävle
785000-1855,Memel Bostadsrättsföreningen,Gävle
716458-5742,HSB Bostadsrättsförening Kobben i Gävle,Gävle
716413-6520,Bostadsrättsföreningen Krögerängen,Gävle
769630-9744,Bostadsrättsföreningen Vallbacken 6:2 i Gävle,Gävle
785000-2481,Bostadsrättsföreningen Södertorg,Gävle
785000-1459,Bostadsrättsföreningen Kannan,Gävle
785000-3067,GRANDUNGEN Bostadsrättsförening,Gävle
769635-2140,Bostadsrättsföreningen Rakbladet i Gävle,Gävle
716458-6203,Bostadsrättsföreningen Tolvfors,Gävle
785000-2424,Bostadsrättsföreningen Sturen 4,Gävle
769611-3161,Bostadsrättsföreningen Vreten 4,Gävle
769627-1118,Bostadsrättsföreningen Östra Islandsgatan 31,Gävle
785000-0097,Bostadsrättsföreningen Ankaret 14,Gävle
785000-1962,Bostadsrättsföreningen Nyvall,Gävle
716458-6153,Bostadsrättsföreningen Rudsjöstrand,Gävle
769622-4117,bostadsrättsföreningen Solhem i Gävle,Gävle
769635-8378,Bostadsrättsföreningen Boklok Hjälmen,Gävle
769629-0084,Bostadsrättsföreningen Brändströmsgatan,Gävle
769636-3121,Bostadsrättsföreningen Seminarieparken i Gävle,Gävle
769624-4057,Bostadsrättsföreningen Villa Hoppet,Gävle
769622-7037,Bostadsrättsföreningen Lövsångaren i Gävle,Gävle
785000-1228,HSB bostadsrättsförening Flemingbo i Gävle,Gävle
769616-4610,Bostadsrättsföreningen BoKlok Källö Trädgårdsstad,Gävle
785000-0600,Riksbyggen Bostadsrättsförening Furubo,Gävle
769621-7178,Bostadsrättsföreningen Villa Holmsund 1,Gävle
769637-9119,Bostadsrättsföreningen Waldenströmsplan i Gävle,Gävle
785000-1178,HSB bostadsrättsförening Rostock i Gävle,Gävle
769627-6281,Bostadsrättsföreningen Esplanaden i Gävle,Gävle
769631-1468,Bostadsrättsföreningen Fruktträdgården,Gävle
769624-3901,Bostadsrättsföreningen Bergbacka Fritid,Gävle
769621-6956,Bostadsrättsföreningen Norrlandet i Gävle,Gävle
785000-1889,Bostadsrättsföreningen Musseronen,Gävle
716458-6146,Bostadsrättsföreningen Forsbacka Herrgård,Gävle
785000-1186,HSB bostadsrättsförening Skottland i Gävle,Gävle
716413-4905,Riksbyggen Bostadsrättsförening Gävlehus 28,Gävle
785000-2564,Bostadsrättsföreningen Tranan,Gävle
769635-7883,Bostadsrättsföreningen Boklok Fritiden,Gävle
785000-1970,Bostadsrättsföreningen Nätet,Gävle
785000-2051,Riksbyggens Bostadsrättsförening Flugsvampen,Gävle
785000-1657,Bostadsrättsföreningen Lagmannen,Gävle
785000-2879,Bostadsrättsföreningen Ängslyckan,Gävle
785000-0089,Riksbyggen Bostadsrättsförening Anders Salt,Gävle
785000-1467,Bostadsrättsföreningen Karelen,Gävle
785000-2606,Bostadsrättsföreningen TYGSKRIVAREN,Gävle
769621-0397,Bostadsrättsföreningen Engelbrektsgatan 6,Gävle
785000-2697,Bostadsföreningen Vibro NR 6 u.p.a.,Gävle
785000-1681,Bostadsrättsföreningen Libau,Gävle
716458-6211,Bostadsrättsföreningen Lindansaren,Gävle
716413-4780,HSB bostadsrättsförening Eken i Gävle,Gävle
769638-5397,Bostadsrättsföreningen Engesberg 1,Gävle
769614-0164,HSB Bostadsrättsförening Röda Kvarn i Gävle,Gävle
769627-0037,Bostadsrättsföreningen Gestricius i Gefle,Gävle
769632-0022,Bostadsrättsföreningen Boken i Gävle,Gävle
785000-2507,Bostadsrättsföreningen Sörbyvallen,Gävle
716413-4764,Riksbyggen Bostadsrättsförening Arenan,Gävle
785000-1095,HSB Bostadsrättsförening Västermalm i Gävle,Gävle
785000-1251,Bostadsrättsföreningen Hadi n:r 4,Gävle
769638-1917,Bostadsrättsföreningen Äppelgården i Vallbacken,Gävle
769631-4231,Bostadsrättsföreningen Saltet i Strömsbro,Gävle
769612-6114,Bostadsrättsföreningen Masten,Gävle
769633-1276,Bostadsrättsföreningen Gullregnet i Gävle,Gävle
769623-3258,Bostadsrättsföreningen Prästgårdsallén,Gävle
769610-2040,Bostadsrättsföreningen Westerport,Gävle
769631-6335,Bostadsrättsföreningen Inspektören i Strömsbro,Gävle
769629-5596,Bostadsrättsförening Vallbacken 6:7,Gävle
785000-3091,Bostadsrättsföreningen Tuvhättan,Gävle
785000-2341,Bostadsrättsföreningen Stapeltorget,Gävle
769608-5872,Bostadsrättsföreningen Norrsundet Fritid,Gävle
785000-1715,Bostadsrättsföreningen Linden,Gävle
769628-6637,Bostadsrättsföreningen Krampesillen i Gävle,Gävle
769635-8758,Bostadsrättsföreningen Porslinsbruket i Gefle,Gävle
769627-5739,Bostadsrättsföreningen Söderstak i Gävle,Gävle
769624-3497,Bostadsrättsföreningen Råmärket i Gävle,Gävle
769631-2748,Bostadsrättsföreningen Femte Tvärgatan 22,Gävle
728000-1012,HSB Bostadsrättsförening Skölden i Värnamo,Gävle
769637-1199,Bostadsrättsföreningen Östersund Staben 8,Gävle
716422-3393,Bostadsrättsföreningen Lövkojan,Gävle
769622-7763,Bostadsrättsföreningen Sandbacka 1,Gävle
769616-0444,Bostadsrättsföreningen Gammelbron,Gävle
769621-5461,Bostadsrättsföreningen Ängslyckan i Örebro,Gävle
769620-1743,Bostadsrättsföreningen BoKlok Källmurs Gård,Gävle
785000-1772,Bostadsrättsföreningen Långa Raden,Gävle
716413-4566,Bostadsrättsförening Konvaljen,Gävle
778000-4946,Bostadsrättsföreningen Geväret,Gävle
769623-3175,Bostadsrättsföreningen Sockerkyrkan i Gefle,Gävle
769620-1750,Bostadsrättsföreningen Nyhamn 1,Gävle
785000-1350,Bostadsrättsföreningen Hyacinten nr 20,Gävle
717600-1365,Bostadsrättsföreningen Kungsgården,Gävle
785000-0048,Bostadsrättsföreningen Agenten nr 17,Gävle
769634-6498,Bostadsrättsföreningen Lövudden nr 1 i Härnösand,Gävle
769629-9481,bostadsrättsföreningen Hemgården i Villastaden,Gävle
769619-6091,Bostadsrättsföreningen Villastaden i Gävle,Gävle
785000-2556,Bostadsrättsföreningen Toppmurklan,Gävle
769623-7853,Bostadsrättsföreningen Jonpersas,Gävle
716458-5908,Bostadsrättsföreningen Stureborg III,Gävle
769605-4852,Riksbyggen Bostadsrättsförening Torpet,Gävle
769622-0669,Bostadsrättsföreningen Smedsmästaren i Gävle,Gävle
716458-5916,Bostadsrättsföreningen Stureborg 1,Gävle
785000-1368,Bostadsrättsföreningen Hyacinten i Gävle,Gävle
