fastighetsbeteckning,municipality_name,brf_org_nummer
STRÖMSBRO 55:1,Gävle,769631-4231
NORR 19:5,Gävle,769612-6114
BRYNÄS 66:9,Gävle,769633-1276
HOLMSUND 8:2,Gävle,769623-3258
VÄSTER 22:2,Gävle,769610-2040
STRÖMSBRO 65:6,Gävle,769631-6335
VALLBACKEN 6:7,Gävle,769629-5596
HÖJERSDAL 12:2,Gävle,785000-3091
SÖDER 55:4,Gävle,785000-2341
NORRSUNDET 15:130,Gävle,769608-5872
VÄSTER 19:5,Gävle,785000-1129
SÖDERTULL 9:1,Gävle,785000-1715
SÖDER 60:10,Gävle,769628-6637
LILLHAGEN 47:1,Gävle,785000-0204
HÖJERSDAL 7:1,Gävle,785000-3091
HÖJERSDAL 9:1,Gävle,785000-3091
NORRLANDET 10:44,Gävle,769640-2580
NORRLANDET 10:2,Gävle,769640-2580
SÖDERTULL 26:3,Gävle,769635-8758
SÖDER 38:5,Gävle,769627-5739
SÖDER 37:7,Gävle,769624-3497
BRYNÄS 59:2,Gävle,769631-2748
SÖRBY 9:1,Gävle,785000-0220
STABEN 8,Gävle,769637-1199
FREDRIKSSKANS 90:1,Gävle,769622-7763
OLSBACKA 34:1,Gävle,785000-2499
VALLBACKEN 5:1,Gävle,769616-0444
KÄLLÖ 37:2,Gävle,769620-1743
VARVA 9:1,Gävle,785000-1772
STRÖMSBRO 39:4,Gävle,716413-4566
VÄSTER 16:10,Gävle,769623-3175
ALDERHOLMEN 4:2,Gävle,769620-1750
OLSBACKA 53:2,Gävle,785000-1350
LILLHAGEN 48:1,Gävle,785000-0204
BRYNÄS 60:8,Gävle,785000-0048
VILLASTADEN 13:1,Gävle,769629-9481
NORRTULL 25:6,Gävle,716413-4897
STRÖMSBRO 13:4,Gävle,716413-6462
VILLASTADEN 27:9,Gävle,769619-6091
FRIDHEM 21:1,Gävle,785000-2556
ANDERSBERG 37:9,Gävle,716458-5908
NORR 17:9,Gävle,769622-0669
ANDERSBERG 17:19,Gävle,716458-5916
VILLASTADEN 27:16,Gävle,785000-1368
